Email,SKU,Rating,Comment
ollie.pittson@yahoo.com,UWF-2924-EN,2,The serum is lightweight and absorbs quickly into my skin.
masha.pietruszka@outlook.com,UUR-7782-WJ,2,The vitamin C serum brightened my complexion within weeks.
nyssa.scowen@yahoo.com,JWS-7787-FI,3,The vitamin C serum brightened my complexion within weeks.
vite.robun@live.com,ERC-7179-P,3,My skin feels firmer and more elastic thanks to this night cream.
lauralee.gabby@wanadoo.fr,STV-9652-KV,3,This shampoo gave my hair a shiny and healthy look.
vite.robun@live.com,WNF-2527-V,1,The anti-aging serum has reduced fine lines around my eyes.
koenraad.bayman@gmail.com,XOQ-1592-SM,4,The exfoliating scrub made my skin smoother and helped with ingrown hairs.
iorgos.kitching@yahoo.com,ZTS-4029-MW,2,The hair oil made my hair softer and more manageable.
nyssa.scowen@yahoo.com,DPN-6677-UL,1,This conditioner made my curls more defined and bouncy.
rickey.yegorshin@msn.com,NAS-8907-JE,2,This hair gel provides strong hold without leaving flakes.
clyde.wilne@telenet.be,XOQ-1592-SM,5,The hair oil made my hair softer and more manageable.
louie.rainer@gmail.com,WNF-2527-V,5,The vitamin C serum brightened my complexion within weeks.
vite.robun@live.com,PWX-7978-OZ,1,The body lotion has a pleasant scent and keeps my skin moisturized all day.
elise.zammett@gmail.com,SJF-6950-D,5,I love how this moisturizer makes my skin feel refreshed and hydrated.
cullin.musker@gmail.com,WNF-2527-V,1,I appreciate that this product is vegan and cruelty-free.
zorana.calcutt@yahoo.com,WNF-2527-V,2,The vitamin C serum brightened my complexion within weeks.
broddy.lean@yahoo.com,WNF-2527-V,5,I appreciate that this product is vegan and cruelty-free.
horatia.peris@yahoo.com,MSO-1685-X,4,I’ve seen noticeable improvement in my acne scars with this cream.
annnora.vink@gmail.com,UUX-2269-TW,3,The hair oil made my hair softer and more manageable.
tildy.stopper@yahoo.com,NTN-0344-IY,1,The facial cleanser leaves my skin feeling clean without drying it out.
miguela.gavigan@yahoo.com,XPB-3348-ZC,2,My skin feels firmer and more elastic thanks to this night cream.
courtenay.nelles@aol.com,STV-9652-KV,3,I love how this moisturizer makes my skin feel refreshed and hydrated.
elise.zammett@gmail.com,NAS-8907-JE,2,I noticed a significant decrease in hair fall since using this hair mask.
broddy.lean@yahoo.com,OTU-5962-ID,5,I enjoy the tingling sensation of this peppermint scalp treatment.
gal.crosthwaite@gmail.com,XVH-8524-KB,3,The cleanser has a lovely scent and perfectly balances my oily skin.
giulia.davys@optusnet.com.au,UUX-2269-TW,5,I noticed a significant decrease in hair fall since using this hair mask.
arlena.brimming@hotmail.com,EKQ-8307-EM,5,The facial cleanser leaves my skin feeling clean without drying it out.
lina.eglin@yahoo.com,MQQ-2316-X,1,This hair gel provides strong hold without leaving flakes.
norene.follit@gmail.com,PWX-7978-OZ,2,The vitamin C serum brightened my complexion within weeks.
ker.prichard@gmail.com,TYZ-9168-W,4,The body lotion has a pleasant scent and keeps my skin moisturized all day.
drucill.purches@hotmail.co.uk,NAS-8907-JE,5,I noticed a significant decrease in hair fall since using this hair mask.
othilie.farguhar@gmail.com,DPN-6677-UL,4,I enjoy the tingling sensation of this peppermint scalp treatment.
ollie.pittson@yahoo.com,SJF-6950-D,3,The cleanser has a lovely scent and perfectly balances my oily skin.
norene.follit@gmail.com,TYZ-9168-W,3,I’ve seen noticeable improvement in my acne scars with this cream.
winne.zoppie@gmail.com,ETS-2684-QF,5,I appreciate that this product is vegan and cruelty-free.
wang.ditzel@hotmail.fr,NTN-0344-IY,2,I noticed a significant decrease in hair fall since using this hair mask.
wylma.halwill@hotmail.com,WNL-9232-CT,2,The facial cleanser leaves my skin feeling clean without drying it out.
othilie.farguhar@gmail.com,OTU-5962-ID,3,I’ve seen noticeable improvement in my acne scars with this cream.
arlena.brimming@hotmail.com,XPB-3348-ZC,3,I love the calming effect this lavender moisturizer has before bed.
koenraad.bayman@gmail.com,XVH-8524-KB,5,The hair oil made my hair softer and more manageable.
helli.hilling@gmail.com,LPM-3141-M,3,The body lotion has a pleasant scent and keeps my skin moisturized all day.
arlena.brimming@hotmail.com,DPN-6677-UL,5,I appreciate that this product is vegan and cruelty-free.
othilie.farguhar@gmail.com,PWX-7978-OZ,3,The exfoliating scrub made my skin smoother and helped with ingrown hairs.
dayle.reely@yahoo.com,PWX-7978-OZ,2,I enjoy the tingling sensation of this peppermint scalp treatment.
miguela.gavigan@yahoo.com,TYZ-9168-W,4,This hair gel provides strong hold without leaving flakes.
arlena.brimming@hotmail.com,BNK-0858-X,3,The anti-aging serum has reduced fine lines around my eyes.
rabi.demougeot@ymail.com,UUR-7782-WJ,5,The facial cleanser leaves my skin feeling clean without drying it out.
danit.luciani@gmail.com,RZH-7025-T,4,I’ve seen noticeable improvement in my acne scars with this cream.
kimbell.beckhouse@yahoo.com,BNK-0858-X,1,The anti-aging serum has reduced fine lines around my eyes.
lizzie.rope@hotmail.com,IGD-7657-A,4,This leave-in conditioner revitalizes my dry hair instantly.
lina.eglin@yahoo.com,TYZ-9168-W,2,This hair gel provides strong hold without leaving flakes.
belita.jagels@gmail.com,RZH-7025-T,5,This leave-in conditioner revitalizes my dry hair instantly.
horatia.peris@yahoo.com,SFK-1659-VV,2,I love how this moisturizer makes my skin feel refreshed and hydrated.
sky.simmank@yahoo.com,ZTS-4029-MW,2,I love the calming effect this lavender moisturizer has before bed.
rabi.demougeot@ymail.com,STV-9652-KV,2,This sunscreen does not leave any white cast and feels non-greasy.
nerti.melsome@yahoo.com,SJF-6950-D,2,The hair oil made my hair softer and more manageable.
eustacia.onowlan@yahoo.com,JWS-7787-FI,4,The exfoliating scrub made my skin smoother and helped with ingrown hairs.
danit.luciani@gmail.com,XPB-3348-ZC,2,This sunscreen does not leave any white cast and feels non-greasy.
aeriel.staner@hotmail.co.uk,JWS-7787-FI,3,I enjoy the tingling sensation of this peppermint scalp treatment.
horatia.peris@yahoo.com,CMF-0731-JD,3,The vitamin C serum brightened my complexion within weeks.
masha.pietruszka@outlook.com,XVH-8524-KB,1,This conditioner made my curls more defined and bouncy.
dayle.reely@yahoo.com,XOQ-1592-SM,3,I enjoy the tingling sensation of this peppermint scalp treatment.
tildy.stopper@yahoo.com,EKQ-8307-EM,2,The vitamin C serum brightened my complexion within weeks.
ollie.pittson@yahoo.com,RZH-7025-T,5,The cleanser has a lovely scent and perfectly balances my oily skin.
jenine.ennion@yahoo.com,ERC-7179-P,3,I love the calming effect this lavender moisturizer has before bed.
arlena.brimming@hotmail.com,OTU-5962-ID,4,I love how this moisturizer makes my skin feel refreshed and hydrated.
tildy.stopper@yahoo.com,JUE-2708-A,2,This sunscreen does not leave any white cast and feels non-greasy.
cullin.musker@gmail.com,DPN-6677-UL,3,This sunscreen does not leave any white cast and feels non-greasy.
iorgos.kitching@yahoo.com,KXX-3245-WN,1,The serum is lightweight and absorbs quickly into my skin.
ophelie.deveral@yahoo.com,UWF-2924-EN,4,I noticed a significant decrease in hair fall since using this hair mask.
aeriel.staner@hotmail.co.uk,EHX-4023-MK,2,I enjoy the tingling sensation of this peppermint scalp treatment.
ollie.pittson@yahoo.com,WNF-2527-V,4,This conditioner made my curls more defined and bouncy.
